WHO-98	WHO-97	Import the dashboards into a Whodunit folder, not General
WHO-99	WHO-89	Scoop manifest so Windows has an install command
WHO-100	WHO-85	Add dashboard panels for cost, model and branch with honest empty-states
WHO-101	WHO-83	Carry the new per-session columns through the sidecar sync
WHO-102	WHO-81	Leave agy token, timing and reasoning columns NULL and prove it
WHO-103	WHO-78	Carry the new per-entry columns through the sidecar sync
WHO-104	WHO-51	Collect chat-side activity counts (no prompt text)
WHO-105	WHO-47	dun journal: query another repository without cd'ing
WHO-106	WHO-46	Color-coded console output and welcome screen
WHO-107	WHO-39	Deterministic purpose classification
WHO-108	WHO-38	Grafana panel: purpose distribution
WHO-109	WHO-28	fsnotify with polling fallback
WHO-110	WHO-24	Codex and opencode adapters
WHO-111	WHO-18	Dogfood: run Whodunit on the Whodunit repo
WHO-112	WHO-16	dun status: local coverage and health
WHO-120	WHO-30	DECISION: cross-platform daemon test strategy
WHO-121	WHO-27	Service install across macOS, Linux, Windows
WHO-122	WHO-91	Token burn ratio between models, on comparable work
WHO-123	WHO-45	Optional pre-push sync trigger (only if/when aggregation lands)
WHO-124	WHO-110	Issue-to-commit links are broken by the team rename; every issue panel reads zero
WHO-125	WHO-111	Panel tooltips tell a story; they should say what the number is and stop
WHO-126	WHO-112	dun baseline capture needs an explicit date range and a way to replace a wrong snapshot
WHO-127	WHO-113	Codex sessions carry Go's zero-time in first_seen, so they fall outside every dashboard time filter
WHO-128	WHO-114	Median-cycle panels time out the moment both issue cohorts have data
WHO-129	WHO-115	The datasource dropdown does nothing � 120 of 121 panel targets ignore it
WHO-130	WHO-116	Categorized blog: .md authoring, category folders, tree index, preview review
WHO-131	WHO-117	Declared attribution: support agents that announce themselves in the commit
WHO-132	WHO-118	Recognise self-declaring agents from a commit's own message
WHO-133	WHO-119	Add internal/declared with a Parse function over a raw commit message
WHO-134	WHO-120	Encode the three recognised signals as one table
WHO-135	WHO-121	Table-driven test over real captured commit messages
WHO-136	WHO-122	Grade a self-declaration as `declared` � the weakest rung, never higher
WHO-137	WHO-123	Make precedence one ordered comparison instead of implicit branching
WHO-138	WHO-124	Feed the declaration into Determine as a fallback candidate
WHO-139	WHO-125	Assert ratio/session/model are omitted on a declared result
WHO-140	WHO-126	Record the WHO-91 reversal as a code comment at the decision point
WHO-141	WHO-127	Show declared confidence plainly wherever attribution is displayed
WHO-142	WHO-128	Document what a declared-only agent structurally cannot report
WHO-143	WHO-129	Render the declared method in status and report output
WHO-144	WHO-130	Show an unavailable ratio as unavailable, not as zero
WHO-145	WHO-131	Add Copilot and Cursor rows and reconcile the unsupported table
WHO-146	WHO-132	State the grading contrast and the privacy boundary
WHO-147	WHO-133	Team rollout without distributing database credentials
WHO-148	WHO-134	Get trailer-level coverage for everyone via a CI job, before any new service exists
WHO-149	WHO-135	Sync to a collector endpoint with a per-user token instead of a database DSN
WHO-150	WHO-136	Run the collector as a `dun serve` subcommand holding the only database credential
WHO-151	WHO-137	Keep syncing without a terminal open, and disclose sync at init time
WHO-152	WHO-138	Document the CI backstop job end to end
WHO-153	WHO-139	State the trailer-only ceiling in the same page
WHO-154	WHO-140	Verify the re-run window does not duplicate
WHO-155	WHO-141	Add an HTTP sync target alongside the DSN target
WHO-156	WHO-142	Store the token via the existing password mechanism, not a new file
WHO-157	WHO-143	Make --dry-run show the HTTP payload verbatim
WHO-158	WHO-144	Fail closed on auth rejection without pruning
WHO-159	WHO-145	Add `dun serve` with an ingest endpoint and token auth
WHO-160	WHO-146	Validate every payload server-side before write
WHO-161	WHO-147	Per-user token issuance and revocation
WHO-162	WHO-148	Operator runbook for deploying the collector
WHO-163	WHO-149	Ship launchd and systemd unit files with install docs
WHO-164	WHO-150	Add the sync disclosure prompt to `dun init`
WHO-165	WHO-151	Add --sync/--no-sync and a non-TTY path
WHO-166	WHO-152	Document making the WHO-39 trailer check a required status check
WHO-167	WHO-153	Several people, one database: contributor collides on shared repos, and the fix needs a team axis
WHO-168	WHO-154	Decide the contributor key: a written decision before any DDL
WHO-169	WHO-155	Contributor identity survives several people syncing one repository
WHO-170	WHO-156	Session rows carry their own contributor
WHO-171	WHO-157	A $team variable, config-sourced with a DevLake fallback
WHO-172	WHO-158	Contributor filters and team defaults across all 7 dashboards
WHO-173	WHO-159	Measure the collision with a failing test before changing anything
WHO-174	WHO-160	Compute the composite key width against the MySQL 3072-byte cap
WHO-175	WHO-161	Write the decision record with rejected alternatives
WHO-176	WHO-162	Apply the chosen key to whodunit_repos in schema.go
WHO-177	WHO-163	Back up the sidecar database, then rebuild the table
WHO-178	WHO-164	Update the sidecar upsert to key on contributor
WHO-179	WHO-165	Document the upgrade path in the release notes and upgrading page
WHO-180	WHO-166	Add contributor to whodunit_sessions in Schema and Migrations
WHO-181	WHO-167	Populate contributor on the session write path
WHO-182	WHO-168	Repoint session-grain dashboard panels at the new column
WHO-183	WHO-169	Add the contributor-to-team config map with the precedence rule
WHO-184	WHO-170	Add the DevLake teams fallback join
WHO-185	WHO-171	Add the $team template variable to every dashboard
WHO-186	WHO-172	Extend check-contributor-filter.py to cover $team
WHO-187	WHO-173	Inventory all 77 references and classify each by required change
WHO-188	WHO-174	Repoint the contributor joins across all 7 dashboards
WHO-189	WHO-175	Set the team-vs-individual default per dashboard
WHO-190	WHO-176	Regenerate dashboards-import/ and run the full guard set
WHO-191	WHO-177	One person, two identities: 15.5% of this database is attributed to a second contributor
WHO-192	WHO-178	Carry contributor onto whodunit_commits and whodunit_events
WHO-193	WHO-179	Charts assert zero AI before attribution existed, manufacturing a fake adoption ramp
WHO-194	WHO-180	A measurement methodology: effort per comparable outcome, not volume
WHO-195	WHO-181	Publish the measurement methodology � the formula, its terms, and what it refuses to claim
WHO-196	WHO-182	Reposition change-size as "Output volume", not a productivity figure
WHO-197	WHO-183	Matched-pairs comparison: comparable work items, assisted vs unassisted
WHO-198	WHO-184	Speed, output and quality on one scorecard � never collapsed into one number
WHO-199	WHO-185	Cross-org benchmarking � what it would take, and why not yet
WHO-200	WHO-186	OIDC as a second collector auth backend, alongside static tokens
WHO-201	WHO-187	An $evidence filter, so a number can be restricted to verified attribution
WHO-202	WHO-188	Declare $evidence as a custom variable on every dashboard
WHO-203	WHO-189	Apply the evidence filter to rate panels, numerator and denominator alike
WHO-204	WHO-190	Extend the filter guard to $evidence
WHO-205	WHO-191	Ask one question: was that session useful?
WHO-206	WHO-192	Measure your actual token saving from an output-mode change
WHO-207	WHO-193	Dashboard SQL has no test � guard scripts check shape, never results
WHO-208	WHO-194	Resolve identity aliases in the dashboards, alongside the team map
WHO-209	WHO-195	Undetermined must carry its reason � four states, not one grey bucket
WHO-210	WHO-196	Backfill the four reasons into whodunit_commits, display-only
WHO-211	WHO-197	Emit four distinct statuses at determination time, with a spec version bump
WHO-212	WHO-198	An append-only replay log: every failed attribution recorded so it can be reapplied
WHO-213	WHO-199	observed should say why the agent's text did not survive
WHO-214	WHO-200	Document the six states and what each one licenses you to say
WHO-215	WHO-201	Correlation panels should be XY scatters once there are 20+ weeks
WHO-216	WHO-202	Issue panels join on REGEXP, which no index can help � 11s per query
WHO-217	WHO-203	Claude Desktop sessions are invisible � count them in engagement, not attribution
WHO-218	WHO-204	Coverage measures evidence strength, but its tooltip and docs both define it as trailer presence
WHO-219	WHO-205	Method mix still shows one grey bucket of 805, on the method axis
WHO-220	WHO-206	Run the rebuild on an existing install, gated on the stored schema version
WHO-221	WHO-207	Finish alias resolution: the dropdown, $team, and five subquery panels
